custom_id,model_name,reasoning_model,bug_report_title,bug_report_description,affected_item,reasoning_judge,match
question___fe5f4c6f-fcc3-47be-91b6-a3648a93c724,gemini-2.5-flash-preview-04-17,"The cardboard box on the desk is emitting an extremely bright light from its interior, which appears unnatural and inconsistent with the scene's lighting. This suggests a potential issue with object lighting or rendering.",Cardboard box glowing excessively bright,"A large cardboard box placed on the desk is rendering with an intense, unnatural light source seemingly originating from within the box itself. The light is significantly brighter than other light sources in the environment and appears to be a graphical anomaly.",Cardboard box object,"The ground truth bug concerns character animation/physics: a character's leg is bent unnaturally and clips through a desk. The generated report concerns a lighting/texture issue: a cardboard box emits excessive light. The two bugs involve different objects (leg vs. box), different types of issues (clipping vs. lighting), and different visual symptoms. Therefore, they do not describe the same bug.",False
question___627f5fff-6638-4faf-aaf4-b196b96c866a,gemini-2.5-flash-preview-04-17,"Upon careful examination of the provided screenshot, no visual glitches, rendering issues, or graphical anomalies were detected. The scene appears to be rendered correctly according to the game's design.",No Visual Glitches Observed in Screenshot,"Analysis of the screenshot did not reveal any graphical bugs such as texture errors, clipping issues, incorrect lighting, or UI rendering problems. All elements, including vehicles, environment, buildings, and user interface components (minimap, subtitles), appear to be functioning and displayed as intended.",None,"The ground truth describes a clear visual bug: one car is floating and clipping into another. The generated bug report explicitly states that no visual glitches or clipping issues were observed. Therefore, the generated report does not identify the same issue as the ground truth.",False
question___badde189-2012-4ec1-849e-8e50874d5b37,gemini-2.5-flash-preview-04-17,"The character model in the center of the image is standing in a default 'T-pose' with arms outstretched, which indicates a failure in loading or playing the correct character animation.",Character model stuck in T-pose in vault hallway,"A character model (appears to be a teammate or NPC) is visible in the vault hallway standing completely still in a T-pose. The character's arms are outstretched horizontally, and they are holding a weapon. This suggests an issue with character animation loading or playback.",Character model animation,"Ground truth states the character is ""next to the wall"" and is stuck in an A-pose (arms angled downward). The generated report says the character is in a ""vault hallway"" and explicitly describes a T-pose (arms straight out horizontally). Although both deal with a character frozen in a default bind pose, the specific pose (A vs T) and the location differ, meaning they are not describing the exact same bug instance.",False
question___49507a6d-f1e7-4dd3-b68e-f78a4fa1e10b,gemini-2.5-flash-preview-04-17,"The UI element displaying 'Susu besar x2' is partially obscured by the barn wall, indicating that the UI is being rendered behind the 3D game geometry instead of on top.",UI notification rendered behind world geometry,"The notification UI element, specifically the one showing 'Susu besar x2', is incorrectly rendered behind the barn wall structure. This visual glitch causes the notification to be partially hidden, potentially making it difficult for the player to see important information about item pickups or events.",UI element (Notification),Ground truth describes a positional/physics bug where two white sheep are floating near the ceiling. Generated report discusses a UI rendering issue where a notification is drawn behind a wall. The issues involve different elements (sheep vs. UI) and entirely different symptoms. They do not correspond to the same bug.,False
question___bbfbe796-7cc8-42ca-9f9c-6e71ccf5d169,gemini-2.5-flash-preview-04-17,"The stream of liquid emanating from the character appears to be clipping through the character's leg and is unnaturally straight and rigid, suggesting a rendering or animation issue with the liquid effect.",Character urination effect clips through leg and is visually rigid,"When the character is performing the urination animation, the visual effect for the stream of liquid clips through the character's right leg. Additionally, the stream appears unnaturally straight and rigid, lacking the expected fluid dynamics and curvature.",Character model and urination visual effect,"Ground truth centers on the character’s body intersecting a wall (clipping into the wall and leaning unnaturally) while a water-stream emerges. The generated report says nothing about wall clipping or body lean; instead it talks about the liquid stream intersecting the character’s leg and looking unnaturally straight. Although both mention a water/urination stream, the core problem described (character vs. wall clipping vs. visual defect of the stream itself) is different.",False
question___7f771e83-c2eb-4575-b0aa-3632fc0584dc,gemini-2.5-flash-preview-04-17,"There is a large, semi-transparent rectangular area rendered on the ground that does not appear to be part of the intended environment geometry or textures. It looks like a rendering artifact or a missing texture/polygon.",Semi-transparent rectangular artifact visible on terrain,"A large, semi-transparent rectangular shape is visible on the ground, overlapping with the terrain near the bottom right of the screen. The artifact appears to be a rendering issue, possibly related to textures, polygons, or transparency sorting. It is visually distracting and does not blend with the surrounding environment.",Environment/Terrain,Ground truth reports a character floating above the ground (physics / positioning issue). The generated report talks about a semi-transparent rectangular graphical artifact on the terrain (rendering / texture issue). These are unrelated problems with different symptoms and causes.,False
question___cabc4187-a7f7-4afe-afde-8e9fbdbcf475,gemini-2.5-flash-preview-04-17,"The character inside the van is displaying visual artifacts that appear glitched or incorrectly rendered, possibly related to damage effects or model rendering issues.",Character Rendering Glitch/Artifacts Inside Vehicle,"When viewing a character inside the green van through the sniper scope, the character model is surrounded by excessive and seemingly glitched visual effects, resembling sparks or blood splatter. This obscures the character and appears to be a rendering issue related to damage effects or the character model itself.",Character (inside vehicle),Ground truth bug concerns a car model intersecting the terrain (car clipped/submerged). Generated report concerns visual artifacts around a character seen through a sniper scope inside a vehicle; no mention of vehicle clipping into ground. The core issues are different.,False
question___ec6355ab-990e-43c6-a186-c8938f81e2cf,gemini-2.5-flash-preview-04-17,"The front section of the red pickup truck, including the hood and windshield area, is rendered significantly darker than the rest of the vehicle and the surrounding environment, suggesting a lighting or shading issue.",Vehicle front section appears unnaturally dark,"The front part of the red pickup truck, specifically the hood and windshield, is rendered with incorrect lighting or shading, making it appear almost black. This visual discrepancy is noticeable compared to the rest of the truck and the environment.",Red pickup truck (vehicle),"The ground truth describes two separate issues: 1) two vehicles intersecting each other (clipping) in a T-bone arrangement, and 2) a character model floating above a car’s bonnet. The generated report instead talks about a lighting/shading problem where the front of a red pickup truck is rendered excessively dark. There is no mention of vehicle clipping or a floating person in the generated report, nor is there mention of lighting issues in the ground truth. Therefore, the reports describe entirely different problems.",False
question___d2ad2064-0526-4381-a895-9f5f6581f6d5,gemini-2.5-flash-preview-04-17,"The character's left hand appears unnaturally distorted and possibly clipping through itself or the weapon, suggesting a rigging or animation issue.",Character Hand Distortion/Clipping,"The player character's left hand, which is holding the weapon, is visually distorted. The fingers appear bent at unnatural angles and parts of the hand may be clipping into the weapon or other parts of the hand itself. This graphical issue affects the character model's appearance.",Player Character Model (Hand),"Ground truth bug is about the character’s hand penetrating their own torso and coming out of the belly. The generated report talks about the hand being distorted, fingers bent unnaturally, and the hand clipping into the weapon or itself—no mention of the hand going inside the body/torso. Therefore, they do not describe the same core issue.",False
question___263db65f-c8d7-48ae-bfb9-930cab3f955a,gemini-2.5-flash-preview-04-17,The name tag displayed above the player character in the game world shows the name of a different player ('I Love Bacon') who is listed in the UI at the bottom. The name tag should either not be present above the player character or should display the player character's own name.,Incorrect Player Name Tag Displayed Above Player Character,The name tag UI element that appears above characters in the game world is incorrectly displaying the name of another player ('I Love Bacon') above the player character being controlled (the one with the first-person weapon view). The UI at the bottom correctly lists 'I Love Bacon' as a separate player. This visual bug causes confusion as the name tag does not correspond to the character it is attached to.,"Name tag UI element, Player character model","The ground truth describes a visual issue where the weapon is detached from the character’s hand (floating and clipping). The generated report instead describes a UI problem where the wrong player name tag is displayed above a character. These are entirely different symptoms and game elements (weapon positioning vs. UI name tag). Therefore, they do not refer to the same bug.",False
question___6f86e013-61eb-4283-abc7-a8e23b4f9b8f,gemini-2.5-flash-preview-04-17,"The dead zombie character model is intersecting with the geometry of the car hood, which is a common visual clipping glitch.",Dead zombie model clipping through car hood,"A dead zombie character model is shown lying on the hood of a blue car, but parts of its body, particularly the legs and torso, are clipping through the car's surface instead of resting on top of it. This visual issue breaks immersion and indicates a rendering or collision detection problem.","Character model (zombie), Environment (car)","Both descriptions report the same core visual defect: a zombie character model intersects/clips into the hood of a car instead of resting on top. The generated report adds minor extra details (blue car, body parts named), but these do not change the nature of the issue. Therefore, they describe the same bug.",True
question___e8c5dfd1-59c9-4c68-8529-80e8292fdde3,gemini-2.5-flash-preview-04-17,"The character's hand appears to be clipping through the book they are holding, indicating a rendering issue where the geometry of the hand is intersecting with the geometry of the book instead of resting on top of it.",Character hand clipping through book while reading,"When the character is sitting on the bench and reading the book, their right hand, specifically the fingers, are visibly clipping through the pages of the book. This breaks the visual immersion and suggests an issue with character model interaction or object collision.","Character model (hand), Book object","Both descriptions agree that the character’s hand is clipping into/through the book. However, the ground-truth bug also specifies an additional problem: the book is being held upside down (cover facing up). The generated report does not mention this upside-down orientation at all, focusing solely on the clipping issue. Because it omits a key part of the ground-truth bug, the two reports do not fully describe the same issue.",False
question___3ead9028-f008-4634-8287-8ab389d3aef9,gemini-2.5-flash-preview-04-17,"The texture on the character's jeans appears stretched horizontally, particularly in the ripped areas on the thighs. This suggests an issue with UV mapping or texture application on the character model.",Character Jeans Texture Appears Stretched,"The texture applied to the character's blue jeans is visibly stretched, especially on the left thigh where the ripped detail is located. The stretching is horizontal and distorts the appearance of the fabric and ripped areas, negatively impacting the visual fidelity of the character model.",Character (clothing texture),"The ground truth bug refers to a positional/animation issue where a girl character is floating mid-air in a sitting pose. The generated bug report instead discusses a visual texture problem on the character’s jeans (stretched texture on the thigh). These describe entirely different issues—one is about character placement/animation, the other about texture mapping—so they do not match.",False
question___f62dac69-9f3c-4544-8aa5-23f95fcb62cd,gemini-2.5-flash-preview-04-17,"The UI element displaying player stats for '[BBC] MR. STALKER' shows text and numbers that are overlapping or too close together, indicating a rendering or layout issue with the UI element.",Player stat UI element text/numbers overlapping,"The UI element displaying player health, armor, and other stats for the player '[BBC] MR. STALKER' shows text and numbers that are rendered too close together, causing them to overlap. This makes the information difficult to read. The armor icon also appears slightly misaligned.",User Interface (UI) element displaying player stats,Ground truth bug concerns 3D model clipping: parts of the character (face and hand) intersect with a wall. The generated report concerns UI layout: player statistics text and icons overlap and are misaligned. These are completely different domains (in-game geometry vs. UI text spacing) with no shared elements. Therefore they do not describe the same bug.,False
question___8c10e1e3-59f3-47e8-b4dd-55120b7559cb,gemini-2.5-flash-preview-04-17,"The reflection visible in the sniper scope appears to be an unintended texture or asset, resembling a cat's face, which is not consistent with the game environment or realistic reflections.",Unintended texture/asset reflected in sniper scope,"When looking through the sniper scope, the reflection displayed within the scope lens shows an image that appears to be a cat's face. This is not a realistic reflection of the surrounding environment and seems to be an erroneous texture or asset being rendered in the reflection layer.",Sniper scope reflection (UI/Weapon),"The ground truth bug concerns the player character’s position – the character falls through the map and ends up below ground level. The generated report, however, concerns an incorrect texture (a cat face) appearing in the sniper-scope reflection. These issues involve completely different game systems (collision/physics vs. rendering of scope reflections) and describe unrelated symptoms. Therefore, they do not match.",False
question___f500f5ab-5f07-4fe9-93ec-d13c6e3aac3e,gemini-2.5-flash-preview-04-17,"The dead animal model appears to be intersecting with the ground terrain, causing the lower portion of its body to be hidden or clipped.",Dead animal model clipping into ground,"A dead animal model, located near the player character, is partially submerged in the ground texture. The bottom half of the animal's body is not visible, indicating a clipping issue between the object and the terrain geometry.",Environmental object (dead animal),"The ground truth states that a horse-like object is clipping into the ground. The generated report describes a dead animal model partially submerged in the ground, i.e., clipping into the terrain. Both reports concern an animal model (horse or dead animal) intersecting with the ground surface, indicating the same clipping issue.",True
question___820d9c67-b19f-4cf9-bab1-52c15bb5d9e0,gemini-2.5-flash-preview-04-17,"The character model standing behind the player character 'Haz-man' is rendered as a solid black silhouette, lacking textures, lighting, and detail. This indicates a rendering issue with the character model.",Character model renders as solid black silhouette,"A character model observed in the background is not displaying correctly. Instead of showing textures and details, the model appears as a solid black silhouette, suggesting a problem with texture loading, lighting, or model rendering.",Character model,Ground truth bug concerns the character’s SHADOW: part of the face area inside the shadow is transparent so the wall shows through; expected result is an opaque black shadow. Generated report talks about the CHARACTER MODEL itself rendering as a completely black silhouette with no textures. This is a different visual issue (model textures missing vs. incorrect shadow opacity) and doesn’t mention transparency within the shadow. Therefore they do not describe the same bug.,False
question___fef66676-e81f-407f-907c-1f1ec8c8246b,gemini-2.5-flash-preview-04-17,"The character standing on the car appears to be floating slightly above the surface of the car's roof. Their feet are not making contact with the vehicle, indicating a potential issue with character placement or collision detection.",Character floating above car surface,"A character model is observed standing on top of a car. However, the character's feet are not touching the car's roof, making them appear to be floating a short distance above the vehicle. This suggests an incorrect placement or a collision detection issue between the character and the car model.",Character model and Car model,"Ground truth bug: character's legs clip into the car roof (character sinks partly into vehicle). Generated report: character is floating above the car with feet not touching roof (gap). These are opposite issues: one intersects/penetrates, other hovers. Hence they do not describe the same bug.",False
question___4398f2b0-4059-4fd5-9427-403a08e68e5f,gemini-2.5-flash-preview-04-17,"The weapon model appears to be clipping through the character's coat, indicating an issue with model collision or rendering layers.",Weapon clips through character coat in first-person view,"In the first-person perspective, the character's equipped weapon model is visibly clipping through the geometry of the character's coat. This graphical issue is present when holding the weapon and can be seen near the character's right arm/shoulder area where the weapon intersects with the coat.","Character model (coat), Weapon model","Ground truth describes a floating, disembodied hand holding a weapon on the left side of the image (implies missing arm/body connection). Generated report instead talks about the weapon model intersecting/clipping through the character's coat in first-person view. No mention of floating/disembodied hand, and location/context differ (clipping near right shoulder vs. floating hand left side). Therefore they do not describe the same bug.",False
