custom_id,model_name,reasoning_model,bug_report_title,bug_report_description,affected_item,reasoning_judge,match
question___82191d7a-17bc-463c-8595-aadf7774f3d8,google/gemma-3-27b-it,"The character model appears to be partially clipping through the horse's body. The legs of the character are embedded within the horse's torso, which is not intended behavior.",Character Clipping Through Horse,"The player character is clipping through the horse model. The character's legs are visibly intersecting with the horse's body. This visual glitch breaks immersion and may indicate issues with collision detection or model positioning. It doesn't appear to impact gameplay functionality, but is visually jarring.",Character Model & Horse Model,"The ground truth bug concerns the incorrect positioning of a dead animal that a person is carrying. The generated report instead describes the player character’s legs clipping through a live horse model while mounted or standing near it. The subjects (dead animal vs. horse), the context (carrying vs. riding/standing), and the nature of the positioning issue differ. Therefore, they do not describe the same bug.",False
question___67648933-8ff7-4cc5-9d95-311887b91f6a,google/gemma-3-27b-it,"The texture on the bull appears to be missing or corrupted, resulting in a flat, untextured appearance. This is especially noticeable on the bull's body and head, where the expected fur or hide detail is absent. The rest of the environment appears to be rendering textures correctly.",Bull Texture Missing/Corrupted,"The texture for the bull model is either missing or severely corrupted, causing the bull to appear as a flat, untextured object. This significantly detracts from the visual fidelity of the game and breaks immersion. It's unclear if this affects gameplay, but it could potentially impact the bull's visibility or how it interacts with lighting.",Animal (Bull),"Ground truth describes a positional/rendering issue: the bull (and cow) are floating above the ground, implying an incorrect placement or physics bug. The generated report talks about missing or corrupted textures resulting in an untextured, flat appearance. It does not mention floating or position; instead it focuses on texture quality. These are different issues.",False
question___7360db67-b45b-4bc2-8378-cdcca906deb7,google/gemma-3-27b-it,"The UI elements (progress bars, text boxes, and icons) appear to be overlapping and partially clipping through the environment and the character. The text is also in a language that doesn't match the game's default, suggesting a localization issue or incorrect display.",UI Clipping and Localization Issue,"The user interface elements are overlapping and clipping through the game world and the player character. This makes the UI difficult to read and negatively impacts the user experience. Additionally, the UI text is displayed in a non-English language, potentially indicating a localization error or incorrect language settings. The progress bars and text boxes are not properly contained within their designated areas.",User Interface (UI),"Ground truth describes a 3D scene issue: airplane wing clipping into wall and plane floating. Generated report describes UI overlay clipping and wrong language in UI. Issues involve completely different elements (airplane vs UI) and symptoms, no overlap in content.",False
question___d2ad2064-0526-4381-a895-9f5f6581f6d5,google/gemma-3-27b-it,"The character model's head appears to be stretched and distorted, creating an unnatural and visually jarring appearance. This is likely a texture or mesh deformation issue.",Character Model - Distorted Head,"The head of the character model is significantly stretched vertically, resulting in a distorted and unrealistic appearance. This affects the visual fidelity of the character and may be distracting to players. The distortion is noticeable during gameplay and could potentially impact player immersion.",Character Model,Ground truth states the bug is the character’s hand clipping into the body and coming out of the belly. The generated report talks about the character’s head being vertically stretched and distorted. These are completely different visual issues (hand clipping vs. head stretching). No overlap in the described problem.,False
question___72aae6d5-b2f8-4e1c-b940-eb163486fa3a,google/gemma-3-27b-it,"The player model appears to be clipping through the stairs. The legs and lower torso are intersecting with the steps, which is not expected behavior. This suggests a collision detection issue or incorrect model positioning.",Player Clipping Through Stairs - 2Fort,"The player model is clipping through the stairs on the 2Fort map. The player's legs and lower torso are intersecting with the steps. This visual glitch may also indicate potential issues with movement or collision detection, potentially allowing players to access unintended areas or become stuck. The glitch is visible in first-person view.",Player Model & Environment (Stairs),"Ground truth bug involves two separate anomalies: (1) the character is floating above the ground, and (2) a wooden beam is clipping through the stairs. The generated report only discusses the player model itself clipping/intersecting with the stairs (legs and torso inside the steps) and makes no mention of floating above ground or of a wooden beam intersecting the stairs. Therefore it does not capture the same core issue(s) described in the ground truth.",False
question___b6e2c192-3d2b-4851-a44d-070fb8c3f4eb,google/gemma-3-27b-it,"The character model in the center of the image appears to be distorted and stretched, particularly in the legs and torso. This is not a natural pose or deformation and suggests a problem with the skeletal mesh or animation blending.",Character Model Distortion - Stretched/Distorted Mesh,"A character model is exhibiting significant distortion, appearing stretched and unnatural. The legs and torso are particularly affected. This could be caused by an issue with the character's skeletal mesh, animation blending, or collision detection. The distortion is visually jarring and may impact player immersion. It's unclear if this affects gameplay functionality, but it's possible the character could experience issues with movement or interactions.",Character Model,"Ground truth issue: presence of two floating guns in image (duplicate floating weapon assets). Generated bug report describes a distorted, stretched character model mesh affecting legs and torso. No mention of guns, floating objects, duplicates; different symptom and asset. Therefore they do not refer to the same bug.",False
question___70668d23-1d3c-4c5e-9b0c-6900155cbd8e,google/gemma-3-27b-it,"The player model on the ground appears to be clipping through the concrete barrier. The character's body is partially embedded within the geometry, indicating a collision detection or model rendering issue.",Player Model Clipping Through Environment Geometry,"A player model is clipping through a concrete barrier in the map. The model's legs and lower torso are sunk into the concrete, creating a visual distortion. This could potentially impact gameplay if the player is unable to move or interact correctly while clipped. It also breaks immersion.",Player Model & Environment Geometry,"Ground truth describes a floating sniper rifle whose barrel clips into a wall. Generated report talks about a player character whose legs and torso clip into a concrete barrier. Different object involved (weapon vs player), different circumstances (floating vs sunk). They are not the same core issue.",False
question___0d8c9ce5-ca96-4234-8c77-2a5b0473bde5,google/gemma-3-27b-it,The tractor's tracks appear to be clipping through the ground and the tractor's body. This indicates an issue with the collision detection or model positioning of the tractor and its components.,Tractor Tracks Clipping Through Ground and Body,"The tractor's tracks are partially embedded within the ground texture, and also clip through the tractor's chassis. This is visually jarring and suggests a problem with the model's positioning or the game's collision system. It doesn't appear to impact gameplay directly, but it's a noticeable graphical error. The clipping is visible from multiple angles.",Tractor (Case IH 400),"Ground truth bug: The tractor’s wheels are not fully rendered; front wheel completely missing. Generated bug: Tractor’s tracks clip through ground and chassis, implying collision/position issue. No mention of missing wheels; instead focuses on clipping. The core issues differ.",False
question___833366dc-ff2a-43f2-9b70-0b0db6875c61,google/gemma-3-27b-it,"The character inside the vehicle appears to be clipping through the windshield and the vehicle's interior. Parts of his body are visible outside the car where they shouldn't be, indicating a collision detection or model positioning issue.",Character Clipping Through Vehicle Windshield,"The character inside the blue vehicle is clipping through the windshield. The character's head and upper body are extending outside of the vehicle's cabin, intersecting with the exterior geometry. This is a visual glitch that breaks immersion. It's possible this could also affect gameplay if the character is meant to be protected by the vehicle.",Character Model & Vehicle Model,"Ground truth says the male character and the (blue/cyan) vehicle are clipping. The generated report states that the character inside the blue vehicle is clipping through the windshield, describing the character’s body intersecting with the vehicle geometry. Both descriptions involve the same entities (male character, blue vehicle) and the same core problem (clipping/intersection). Details provided in the generated report (windshield, head outside) are consistent refinements, not contradictory. Therefore, they refer to the same bug.",True
question___ecb5cbd2-a8be-4bf9-9ae6-115742dba01a,google/gemma-3-27b-it,"The texture on the roof tiles appears to be stretching and distorting, particularly noticeable on the roof the character is standing on. The tiles are not uniformly sized or aligned, and some appear elongated or compressed. This suggests a problem with UV mapping or texture application.",Roof Texture Distortion,"The texture on the roof tiles is visibly distorted, stretching and compressing in an unnatural way. This breaks immersion and detracts from the visual quality of the environment. The distortion is most prominent on the roof the player character is currently on, but appears to affect other roof sections as well. It doesn't appear to impact gameplay directly, but is a noticeable visual flaw.",Environment - Roof Tiles,Ground truth bug: character floating in kneeling position (animation/physics issue). Generated bug: distorted roof texture (environment texture stretching). They describe entirely different issues involving different objects and symptoms.,False
question___d11b0194-3e04-493f-8223-f9bb0c62cf07,google/gemma-3-27b-it,"The character on the left appears to be clipping through the bench he is sitting on. His legs are intersecting with the wooden structure, which is not intended behavior.",Character Clipping Through Bench,"The character on the left side of the table is clipping through the wooden bench. The lower portion of his body, specifically his legs, are intersecting with the bench's structure. This creates a visual distortion and breaks immersion. While not game-breaking, it is a noticeable graphical issue. It may also indicate issues with collision detection.",Character Model & Environment (Bench),"Ground truth: person is floating in the air (completely unsupported) while in a sitting pose. Generated: character’s lower body intersects/ clips through the bench, implying he is partially inside the bench, not floating above it. These are different graphical issues (floating vs clipping). Therefore they do not describe the same bug.",False
question___e1fe56d2-cda0-4e0b-84fd-0a4a53090193,google/gemma-3-27b-it,The character model appears to be clipping through the motorcycle's frame and wheels. This indicates an issue with collision detection or model positioning.,Character Clipping Through Motorcycle,The player character is partially embedded within the motorcycle model. The character's legs and lower torso are intersecting with the motorcycle's frame and wheels. This visual glitch may also indicate potential issues with player movement or interaction with the vehicle. It breaks immersion and could potentially lead to gameplay issues if the character becomes stuck.,Character Model & Motorcycle Model,"Ground truth bug concerns the motorcycle’s lower wheel intersecting/clipping into the terrain. The generated report talks about the player character’s body intersecting with the motorcycle model. No mention of the wheel clipping into the ground appears in the generated report, and no mention of character-motorcycle clipping appears in the ground truth. Therefore they refer to different issues.",False
question___da1271fb-ca45-4e8e-95e6-882dd3574cb5,google/gemma-3-27b-it,The character model's hands and weapon are clipping through the vehicle's body. This indicates an issue with the collision detection or model positioning within the game engine.,Character Clipping Through Vehicle,The player character's hands and weapon are visibly intersecting with the vehicle's chassis. This clipping issue breaks immersion and suggests a problem with the character's positioning relative to the vehicle. It may also indicate issues with the vehicle's collision model. The issue is visible when the character is aiming while inside the vehicle.,Character Model & Vehicle,"Ground truth bug: character in T-pose with lower body sunk into ground. Generated report: character’s hands and weapon intersecting a vehicle while aiming inside it; no mention of T-pose, ground, or lower body submerged. Objects and context (vehicle vs ground) differ, so they describe different issues.",False
question___3ead9028-f008-4634-8287-8ab389d3aef9,google/gemma-3-27b-it,"The character's proportions are severely distorted, particularly the lower body. The hips and buttocks are excessively large compared to the rest of the body, creating an unrealistic and visually jarring appearance. This suggests an issue with the character model's scaling or rigging.",Character Model - Extreme Proportion Distortion,"The character model exhibits a significant distortion in proportions, specifically an exaggerated hip and buttock size. This makes the character appear unrealistic and breaks immersion. The issue is noticeable from multiple angles, as shown in the screenshot. This could potentially impact character animation and collision detection.",Character Model,"Ground truth issue: girl floating in air in sitting pose (position/animation bug). Generated report: distorted character proportions (exaggerated hips/butt). Different symptoms, causes, and visuals; no mention of floating or sitting in generated report, no mention of proportion distortion in ground truth.",False
question___9551e79b-2f10-4256-8910-52ee87a75263,google/gemma-3-27b-it,"The hand icons floating above the environment appear to be clipping through objects and are positioned in a way that doesn't align with expected interaction points. They seem to be rendering incorrectly, potentially due to a layering or z-ordering issue.",Interaction Hand Icons Clipping and Incorrect Positioning,"Multiple interaction hand icons are visible throughout the scene, and several are clipping through walls, boxes, and other environmental objects. Their placement doesn't seem to correspond to logical interaction points, and they appear to float in mid-air. This makes it difficult to determine what objects are interactable and breaks immersion. The icons also overlap with the UI elements in the bottom right corner.","UI/Interaction System, Environment","Ground truth describes a bug where two character models are positioned too high so their heads clip into the ceiling (character placement/clipping). The generated report talks about interaction hand UI icons that float mid-air, clip through walls/objects, and overlap UI. It concerns UI elements, not character models, and no mention of heads or ceiling. Although both mention floating/clipping, they involve different entities and contexts, so they are not the same bug.",False
