custom_id,model_name,reasoning_model,bug_report_title,bug_report_description,affected_item,reasoning_judge,match
question___c7a1fb7a-410f-44c7-856d-dcafcff8d1e2,o4-mini-2025-04-16,"The item-fulfillment screen shows two separate weapon models overlapped (two buttstocks and barrels visible) instead of only the newly received MP 3008, indicating the previous model was not cleared before rendering the new one.",Overlapping Weapon Models on Order Fulfillment Screen,"When receiving a new weapon (MP 3008), the UI still renders the previously viewed gun alongside it, resulting in two stocks and barrels overlapping on the screen. This makes it difficult to clearly inspect the received item and may confuse players about what they’ve actually obtained. The asset for the prior weapon does not unload before the MP 3008 model is drawn.",Item Fulfillment UI / Weapon Model Rendering,"Ground truth states that two weapons are clipping into each other. The generated report describes that when a new weapon model (MP 3008) is shown, the previous weapon model is not unloaded, causing both weapon models to overlap on screen. This is effectively the same issue of two weapon models clipping/overlapping. Context (order fulfillment UI) adds detail but does not change the core problem. Therefore, they refer to the same bug.",True
question___cbb22354-1581-4429-b896-753e55f2868c,o4-mini-2025-04-16,"The corrugated metal wall in the CEO Office shows the exact same damage/sticker marks tiled across the surface in a perfect grid. This uniform repetition indicates a missing texture variation or incorrect UV mapping, breaking visual realism.",Corrugated Metal Wall Shows Repeated Damage Decals,"The metal wall background in the CEO Office environment is displaying identical damage or sticker decals repeatedly in a grid pattern. Instead of varied or randomized scuffs and stickers, the same decal is stamped across the entire surface, resulting in a noticeable tiling artifact. This reduces environmental immersion and can be distracting during gameplay.",Environment (corrugated metal wall texture),"Ground truth bug concerns character rendering: a person appears floating in a sitting pose because the chair isn’t rendered. Generated bug concerns environment texture tiling: repeated damage decals on metal wall. No overlap in object, symptom, or cause.",False
question___17fe2ac4-8328-4017-b3fb-b2aba6ae5090,o4-mini-2025-04-16,"The NPC sitting on the roadside barrier appears to be hovering slightly above the surface rather than resting naturally on it, indicating a collision or placement error in the scene.",NPC Hovering Above Ground,"An NPC seated on a roadside barrier is positioned approximately 10–15 centimeters above the ground. The character model does not properly align with the barrier or ground collision mesh, causing a visible hovering effect. This visual imperfection can break player immersion and may lead to further animation or interaction issues with that NPC.",NPC Character Model,"Both descriptions report a character that is in a seated animation but is visibly floating above the expected surface (""sitting on air"" vs. ""hovering 10–15 cm above ground""). The scene specifics differ (""middle of the road"" versus ""on a roadside barrier""), yet the underlying problem—seated NPC not aligned with any collision surface—is identical. Thus the generated report addresses the same core issue highlighted in the ground truth.",True
question___58e7e92c-4b30-422e-b41a-c20ae560667c,o4-mini-2025-04-16,"The character’s face is intersecting with the desk’s geometry while sleeping, indicating a collision or bounding volume issue that allows clipping through the desk surface.",Character Head Clipping Through Desk,"When the player character is in the sleeping pose, the head mesh penetrates the front panel of the desk rather than resting on a pillow or sleeping surface. This results in visible clipping of facial textures through the desk geometry, breaking immersion and potentially causing collision detection errors in nearby interactions.",Character model (head) / Environmental geometry (desk),"Ground truth describes a rendering/visibility issue where the pillow (and part of the bed) is missing, revealing the wall behind. The generated report instead describes the character’s head clipping through a desk due to incorrect collision or pose, with no reference to a missing pillow or bed mesh. The objects involved (pillow/bed vs. desk) and the nature of the problem (missing object vs. mesh penetration) are different, so they do not refer to the same bug.",False
question___90bde912-e760-472f-ad66-1fc1cb37936b,o4-mini-2025-04-16,"I observe that several pumpkins on the dirt mound are rendered with incorrect shading and appear semi-transparent. One of them is even floating and clipping through the ground. Additionally, there is a bright white square on the dirt mound that looks like a missing or placeholder texture.","Floating, semi-transparent pumpkins and missing dirt texture","Multiple pumpkin objects lack proper normal mapping and lighting, appearing overly bright and partly see-through. One pumpkin is floating mid-air and clipping into the terrain, indicating a collision or placement error. On the same dirt mound, there is a stark white patch where the ground texture fails to load, suggesting a missing or corrupted asset. These visual issues disrupt immersion and may confuse players when gathering resources.",Environment objects (pumpkins and ground texture),"Ground truth has two specific problems: 1) a pumpkin floating in mid-air, and 2) the character’s hand clipping inside their own body. The generated report only matches the first element (a floating pumpkin) but instead of the hand-clipping issue it talks about pumpkins being semi-transparent and a missing dirt texture. Since it omits the hand-clipping problem and introduces unrelated texture issues, it does not fully describe the same bug set.",False
question___c18522db-baf3-45b7-85eb-fc64b0f110cd,o4-mini-2025-04-16,"Multiple turret parts—including the main gun barrel, side attachments, and the operator’s console—appear disconnected from the turret base and seat, floating independently instead of forming a cohesive model.",Dislodged and Floating Turret Model Components,"When manning the turret, several components of the weapon system are rendered as separate, floating objects rather than attached correctly. The main barrel, side grips, and control console are all misaligned and appear to hover in midair. This graphical error disrupts visual continuity, may affect aiming accuracy, and breaks player immersion.",Turret weapon model,"Ground truth: most of the combat vehicle does not appear – only a few parts are rendered (i.e., many parts are completely missing).
Generated report: all of the turret’s parts are present but their transforms are wrong – barrels, grips, etc. are visible yet floating/dislodged.
Thus, ground truth describes missing geometry, whereas generated report describes mis-positioned geometry. They are different graphical issues, so they do not describe the same bug.",False
question___f500f5ab-5f07-4fe9-93ec-d13c6e3aac3e,o4-mini-2025-04-16,"The dead animal model is intersecting with the terrain mesh, with its body partially buried under the ground rather than resting on the surface.",Animal Corpse Clipping into Terrain,"Upon approaching this animal carcass, its body is partially submerged in the ground mesh. The underside and legs of the model are hidden below the terrain surface, making it impossible to fully view or interact with the corpse for skinning and reducing immersion.",Creature corpse (dead animal model),"Ground truth states that a (likely horse) model is clipping into the ground. The generated report describes an animal corpse whose body is partially submerged in the terrain, i.e., clipping into the ground. Both reports point to an animal model intersecting the ground mesh, impairing visibility/interactions. Differences (living vs corpse, certainty of horse) do not change the core issue: an animal model clipping into terrain.",True
question___4f355b56-86bd-43ce-8186-321126df4ed0,o4-mini-2025-04-16,"A wall-mounted medical cabinet’s door panel is detached and lying horizontally on the floor, clipping through an adjacent box. It appears rotated 90° from its intended position and intersecting other geometry, indicating a prop placement or collision error.",Detached health cabinet door clipping through floor and adjacent box,"The decorative wall medical cabinet’s door panel has spawned misaligned: it is lying flat on the floor, rotated 90° from its intended upright position, and intersecting with a nearby crate. This not only looks visually incorrect but may also confuse players about cover and collision in this area. The issue persists each match setup, suggesting a map or prop placement error.",Environment/Prop (medical cabinet door),"Ground truth: the whole health cabinet has fallen to the ground and is clipping into the wall. Generated report: only the cabinet’s door panel is detached and lying on the floor, clipping through the floor and a crate, while the cabinet itself is implied to still be on the wall. Because the generated report concerns a different object (door vs entire cabinet) and different clipping context (floor+crate vs wall), they are not describing the same issue.",False
question___70d3444d-0986-454a-a01a-382d88399aed,o4-mini-2025-04-16,"The screenshot shows the environmental wooden structure meshes behind the character stretched into translucent, wireframe‐like strips that overlap and clip through the character. This distortion is not part of the intended art style or animation and appears to be a rendering or skinning error.",Stretched/Clipped Wooden Mesh Artifacts Around Character,"In the captured scene, the wooden environment prop (possibly a fence or shack) is rendered as multiple translucent, ribbon-like strips that extend and clip through the player character’s body. These errant strips flicker and obscure the character’s model, breaking immersion and potentially hindering player visibility. The mesh deformation persists across camera angles and animations, suggesting a faulty vertex skinning or mesh loading issue.",Environment prop (wooden structure),"Ground truth: Straw hut/environment mesh is heavily distorted and stretches onto/over the person’s clothing. Generated report: Wooden environment prop/fence/shack mesh appears stretched into ribbon-like strips that extend and clip through the player character’s body. Both descriptions identify a distorted environment mesh (straw hut vs wooden shack) that stretches onto/through the character, i.e., environment geometry wrongly intruding into the character model. The specific visual wording differs, but the core problem (environment mesh distortion causing overlap with the character) is the same.",True
question___e8c5dfd1-59c9-4c68-8529-80e8292fdde3,o4-mini-2025-04-16,"The yellow quest indicator dot is rendered directly on the open book’s pages instead of hovering above the NPC’s head or over the book icon in the UI. This suggests the world-space to screen-space projection for the marker is misaligned, causing it to intersect the book geometry improperly.",Quest Marker Misplaced on Book Geometry,"A yellow quest indicator (dot) appears on the book pages held by the seated character rather than floating above the NPC or in the designated UI position. The marker clips into the book mesh, detracting from visual clarity and potentially confusing players about the intended interaction point.",UI quest marker,Ground truth: visual bug where the character’s hand clips into the book and the book is upside-down. Generated report: UI problem where a quest marker is placed on/inside the book mesh. No mention of hand clipping or book orientation; focuses on quest indicator instead. They concern different issues.,False
