custom_id,model_name,reasoning_model,bug_report_title,bug_report_description,affected_item,reasoning_judge,match
question___82191d7a-17bc-463c-8595-aadf7774f3d8,qwen/qwen-vl-max,"The image appears to be from a video game with a dark, nighttime setting. The character in the foreground is holding an object that seems to be a part of the environment, but the lighting and shadows do not align with the rest of the scene, suggesting a potential graphical glitch.",Misaligned Lighting and Shadows on Character,"The character in the foreground is holding an object that appears to be part of the environment. However, the lighting and shadows on the character and the object do not match the rest of the scene. This inconsistency in lighting and shadows can disrupt the immersion and visual coherence of the game.",Character,Ground truth bug: visual positioning issue of a dead animal being carried (placement/attachment incorrect). Generated bug: lighting and shadow mismatch on character and held object; no mention of incorrect positioning of the animal or dead animal context. The two reports describe different issues.,False
question___67648933-8ff7-4cc5-9d95-311887b91f6a,qwen/qwen-vl-max,"The image appears to be from a first-person shooter game with a rural setting. The environment and objects look mostly realistic, but there is a noticeable issue with the text overlay on the top right corner. The text 'YES' is partially cut off and appears to be floating without a clear context or background, which is unusual for in-game text.",Floating and Partially Cut-Off Text Overlay,There is a text overlay on the top right corner of the screen that reads 'YES'. This text is partially cut off and appears to be floating without a clear context or background. This could be a graphical glitch where the text is not properly rendered or positioned within the game's user interface. It may cause confusion or distraction for the player.,UI,"Ground truth describes an in-world rendering issue where animal models (a black bull and a cow) appear to float above the ground. The generated report instead talks about a UI problem: a text overlay reading “YES” that is partially cut off and floating at the top-right of the screen. The elements involved (animals vs UI text), their locations, and the nature of the problem (object placement in 3D world vs UI positioning) are completely different, so the two reports do not refer to the same bug.",False
question___7360db67-b45b-4bc2-8378-cdcca906deb7,qwen/qwen-vl-max,"The character's head appears to be abnormally large in proportion to the body, which is a common graphical issue known as a scale or model deformation glitch. This could be due to an error in the character model or texture mapping.",Character Model Deformation - Abnormally Large Head,"The character in the image has an abnormally large head in proportion to the body. This visual glitch affects the character's appearance and could potentially impact the immersion and realism of the game. The issue is noticeable in the character's head, which appears disproportionately large compared to the rest of the body.",Character,"Ground truth reports an airplane clipping through a wall, propeller not rotating, and the plane floating off the ground. The generated report discusses a character model with an abnormally large head. The objects involved (airplane vs. character), the type of visual issue (clipping/floating vs. proportion distortion), and the specific symptoms all differ.",False
question___d2ad2064-0526-4381-a895-9f5f6581f6d5,qwen/qwen-vl-max,"The character's hand appears to be intersecting with the weapon, which is not a normal visual representation. This suggests a graphical bug where the model of the hand and the weapon are not properly rendered or aligned.",Character Hand Intersecting with Weapon,"The character's hand is visually intersecting with the weapon, creating an unrealistic and potentially confusing visual effect. This glitch may affect the player's immersion and could potentially impact gameplay if it affects the player's ability to interact with the weapon.",Character,"Ground truth bug: character's hand clips into their own body, emerging from belly—self-intersection with torso. Generated report: hand intersects with weapon, not body. Different objects involved, different clipping location. Therefore they do not describe same issue.",False
question___72aae6d5-b2f8-4e1c-b940-eb163486fa3a,qwen/qwen-vl-max,"The character appears to be floating in mid-air above the stairs, which is not a typical behavior for a character in a game. This suggests a physics or collision detection glitch.",Character Floating Above Stairs,"The character is positioned above the stairs without any visible support, indicating a physics glitch. This could affect gameplay by allowing players to reach unintended areas or by causing unexpected behavior during movement.",Character,"Both descriptions mention a character floating in mid-air/above the stairs, but the ground truth also specifies an additional problem: a wooden beam clipping through the stairs. The generated report omits any reference to the wooden beam clipping, therefore it does not fully describe the same bug scenario detailed in the ground truth.",False
question___b6e2c192-3d2b-4851-a44d-070fb8c3f4eb,qwen/qwen-vl-max,"The image appears to be from a first-person shooter game with a post-apocalyptic setting. There are no obvious visual glitches such as texture misalignments, clipping issues, or transparency problems. However, the positioning of the characters on the ground seems unnatural, which could be a potential issue.",Unnatural Character Poses,"The characters lying on the ground appear to be in unnatural and potentially unrealistic poses. This could affect the immersion and realism of the game, especially in a post-apocalyptic setting where realism is crucial. The poses may also impact the player's ability to interact with the environment or other characters.",Character,"Ground truth bug concerns two guns floating (i.e., items not attached to anything). Generated report instead talks about characters lying on the ground in unnatural poses. No mention of floating guns; focuses on different elements and issue type. Therefore they do not describe the same bug.",False
question___70668d23-1d3c-4c5e-9b0c-6900155cbd8e,qwen/qwen-vl-max,"The player's body appears to be floating above the ground, which is not a normal state in the game. This suggests a graphical bug where the player model is not rendering correctly in relation to the environment.",Player Model Floating Above Ground,"The player model is rendered in a position that appears to be floating above the ground, which is not a normal state in the game. This could potentially affect gameplay by causing confusion or making it difficult to interact with the environment correctly.",Character,Ground truth bug concerns a sniper rifle asset floating in air with barrel clipping into a wall (weapon placement/clipping). Generated report talks about the player character model floating above ground and potential gameplay confusion. Different object (player vs rifle) and different clipping detail; no mention of weapon or clipping into wall. Therefore they do not describe same bug.,False
question___0d8c9ce5-ca96-4234-8c77-2a5b0473bde5,qwen/qwen-vl-max,"The image appears to be from a farming simulation game. There are no obvious visual glitches such as texture misalignments, clipping issues, or transparency problems. The tractor and attached equipment look properly rendered and positioned.",No visual glitches detected,The tractor and attached equipment are rendered correctly with no apparent graphical issues. The environment and UI elements also appear to be functioning as intended.,None,The ground truth reports a specific graphical issue: the tractor’s front wheel is missing/not rendered. The generated bug report claims that there are no visual glitches and everything is rendered correctly. These statements directly contradict each other; they do not describe the same issue.,False
question___833366dc-ff2a-43f2-9b70-0b0db6875c61,qwen/qwen-vl-max,"The image shows a character inside a vehicle with another character standing outside. There is a noticeable visual glitch where the character inside the vehicle appears to be partially outside the vehicle, with their arm extending through the vehicle's window in an unnatural way. This suggests a collision detection or clipping issue.",Character Clipping Through Vehicle Window,"The character inside the vehicle is partially clipping through the vehicle's window, with their arm extending outside in an unnatural and unrealistic manner. This visual glitch can disrupt the immersion and realism of the game, potentially affecting the player's experience.",Character,"Ground truth states that the male character and the blue/cyan vehicle are clipping together. This identifies the problem as a visual intersection between the character model and the vehicle. The generated report describes the character partially clipping through the vehicle’s window, which is likewise a visual intersection between the character model and the vehicle. Although the generated report omits the vehicle’s color detail, the core issue (character-vehicle clipping) is the same.",True
question___ecb5cbd2-a8be-4bf9-9ae6-115742dba01a,qwen/qwen-vl-max,"The character appears to be partially embedded into the wooden structure, which is not a normal interaction with the environment. This suggests a graphical bug where the character model is not correctly rendered in relation to the environment.",Character Model Embedded in Wooden Structure,"The character model is partially embedded into the wooden structure, indicating a graphical glitch. This could potentially affect the player's ability to navigate or interact with the environment correctly.",Character,"Ground truth bug is about the character on the left floating (in mid-air) while kneeling. The generated report instead describes the character as being partially embedded in a wooden structure. Floating and embedding are opposite types of placement errors and involve different environmental contexts (air vs wooden object). Therefore, they do not describe the same bug.",False
